operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
APRR,ALLAINVILLE,VILLEFRANCHE-NORD,1,57.60,457.07,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VILLEFRANCHE-VILLE,1,58.20,462.37,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VILLENEUVE-DONDAGRE,1,29.70,158.15,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VIRIAT,1,56.90,459.04,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VULAINES,1,34.30,199.90,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,ALLAINES,1,58.20,462.61,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,ALLAINVILLE,1,61.20,491.21,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,AMBOISE CH.RENAULT,1,66.90,539.81,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,ARLAY,1,10.60,101.49,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,ARTENAY,1,57.10,449.21,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,AUXERRE NORD,1,28.20,301.99,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,AUXERRE SUD,1,28.20,290.29,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,AUXY,1,42.50,393.11,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,AVALLON,1,22.80,246.19,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BALAN,1,1.90,24.03,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BAUME-LES-DAMES,1,22.00,231.69,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BEAUMONT,1,57.00,585.85,2026-02-01,2027-01-31,,,aprr-class1-2026
