name,operator,lat,lon,type
LE MIROIR,APRR,46.5474715,5.3265684,closed
BEAUPONT,APRR,46.4409805,5.2698552,closed
PEAGE DE VAL DE SAONE,APRR,46.2953901,4.8978335,closed
MACON CENTRE,APRR,46.3401042,4.8472814,closed
FEILLENS,APRR,46.3288346,4.8824112,closed
REPLONGES,APRR,46.3007801,4.8957548,closed
ST GENIS - SAINT GENIS,APRR,46.2722265,5.0158394,closed
BOURG NORD,APRR,46.2599489,5.1669614,closed
VIRIAT,APRR,46.2357293,5.2734836,closed
BOURG SUD,APRR,46.1456922,5.2862738,closed
ST MARTIN DU FRESNE - SAINT MARTIN DU FRESNE,APRR,46.1324281,5.5415206,closed
SYLANS SUD - SYLANS,APRR,46.1585737,5.6483351,closed
BELLEGARDE,APRR,46.1160243,5.795008,closed
ELOISE,APRR,46.06516,5.8639647,closed
PEAGE DE VIRY,APRR,46.1200143,6.0095423,closed
LA CROIX CHALON,APRR,46.1777171,5.5590084,closed
PEAGE DE GROISSIAT - GROISSIAT,APRR,46.2237181,5.6140918,closed
PONT D AIN,APRR,46.0481257,5.3278855,closed
AMBERIEU - AMBERIEU EN BUGEY,APRR,45.9776792,5.312599,closed
PEROUGES,APRR,45.8607917,5.1812783,closed
BALAN,APRR,45.851012,5.0994272,closed
LA BOISE MONTUEL - LA BOISSE MONTLUEL,APRR,45.8407595,5.0469894,closed
PEAGE DE BEYNOST - BEYNOST,APRR,45.8206664,4.9939405,closed
PEAGE DE LA COTIERE,APRR,45.83428,5.0314003,closed
PEAGE DE LA BOISSE,APRR,45.8277301,5.0326389,closed
AIGUEBELETTE,AREA,45.576882,5.7992485,closed
AITON,AREA,45.5559554,6.2481429,closed
AIX NORD,AREA,45.7161491,5.922156,closed
AIX SUD,AREA,45.653626,5.9216532,closed
ALLONZIER,AREA,45.9897608,6.1277756,closed
ANNECY CENTRE,AREA,45.8979211,6.0925664,closed
ANNECY NORD,AREA,45.9388473,6.1169789,closed
BOURGOIN,AREA,45.5822626,5.3002391,closed
CHAMBERY NORD,AREA,45.6024284,5.8867608,closed
CHATUZANGE BARRIERE,AREA,45.0259152,5.0969532,closed
CHESNES,AREA,45.6556504,5.0979386,open
CHIGNIN BARRIERE,AREA,45.5126775,6.0022092,closed
CHIGNIN BRETELLE,AREA,45.5112648,6.0045729,open
CHIGNIN LES MARCHES,AREA,45.5090272,6.0062545,closed
CROLLES BARRIERE,AREA,45.2717703,5.9007427,closed
CROLLES BRIGNOUD,AREA,45.271791,5.90069,closed
CURSEILLES EST OUEST A41N,AREA,45.9933364,6.1280537,open
CURSEILLES EST OUEST A410,AREA,45.9933709,6.1281654,open
HERMILLON,AREA,45.2989217,6.3552921,closed
ISLE D ABEAU CENTRE,AREA,45.605103,5.2344726,closed
LA BAUME D HOSTUN,AREA,45.064633,5.2080027,closed
LA TOUR DU PIN,AREA,45.5618738,5.4288421,closed
LA TOUR DU PIN EST,AREA,45.5571846,5.4628749,closed
LE CROZET,AREA,45.0454854,5.6787994,open
LE TOUVET,AREA,45.3474721,5.9636052,closed
LES ABRETS,AREA,45.5713824,5.6041018,closed
MOIRANS,AREA,45.3200799,5.607543,closed
MOIRANS NORD,AREA,45.3234894,5.6028346,closed
MONTMELIAN,AREA,45.4949937,6.0575949,closed
PONTCHARRA,AREA,45.4258536,5.9951768,closed
RIVES,AREA,45.3840979,5.4730239,closed
RUMILLY,AREA,45.8158454,6.006903,closed
SAINT EXUPERY,AREA,45.6727252,5.0514167,open
SAINT GENIX SUR GUIERS,AREA,45.5727704,5.6591386,closed
SAINT MARCELLIN,AREA,45.1382768,5.3261599,closed
SAINT PIERRE D ALBIGNY,AREA,45.5488777,6.1599137,closed
SEYNOD SUD,AREA,45.8459699,6.0578384,closed
ST MARTIN BELLEVUE A41 N,AREA,45.9897553,6.1277404,closed
ST MARTIN BELLEVUE A410,AREA,45.9898140,6.1283793,closed
ST PIERRE BELLEVILLE,AREA,45.469812,6.2871707,closed
ST QUENTIN FAL BARRIERE,AREA,45.6483669,5.1200573,closed
ST QUENTIN FAL BRETELLE,AREA,45.64851,5.1201314,closed
STE HELENE BARRIERE,AREA,45.6199212,6.3119232,closed
STE MARIE DE CUINES,AREA,45.3460087,6.3055052,closed
TULLINS,AREA,45.2870178,5.5218684,closed
VILLEFONTAINE,AREA,45.6284645,5.1644734,closed
VINAY - VIRY,AREA,45.1994862,5.419409,closed
VOIRON,AREA,45.347549,5.5664029,closed
VOREPPE BARRIERE,AREA,45.2831859,5.6216873,closed
COPPONEX,AREA,46.0500633,6.080934,open
ST MICHEL MAURIENNE BAR,SFTRF,45.218696,6.4590391,closed
ST MICHEL MAURIENNE ECH,SFTRF,45.2185495,6.4589619,closed
CROTTET,APRR,46.2867138,4.8701066,open
DORDIVES,APRR,48.1724553,2.7661741,open
FONTAINE LARIVIERE,APRR,47.675968,6.9817416,open
GENAY,APRR,45.9003691,4.819361,open
LE TOURNEAU,APRR,47.9929422,2.6775813,open
MIONNAY,APRR,45.883043,4.8989851,open
MYENNES,APRR,47.4373764,2.9406583,open
QUINCIEUX BARRIERE,APRR,45.9079069,4.7382319,open
VICHY,APRR,46.1384815,3.351355,open
ANCENIS DIR ANGERS,COFIROUTE,47.402548,-1.1935247,open
ANCENIS DIR NANTES,COFIROUTE,47.3993627,-1.1927741,open
ANCENIS PEAGE,COFIROUTE,47.4006985,-1.195879,open
BEAUPREAU SAINT GERMAIN,UNKNOWN,47.4317189,-0.8163578,open
DOURDAN,UNKNOWN,48.5696351,1.9902419,closed
